fips,incidentType,num_disasters,has_data_center,num_data_centers
02150,Hurricane,0,0,0
02150,Winter Storm,0,0,0
02150,Flood,0,0,0
02150,Tornado,0,0,0
02150,Tropical Storm,0,0,0
02150,Snowstorm,0,0,0
02150,Coastal Storm,0,0,0
02150,Severe Ice Storm,0,0,0
02164,Severe Storm,0,0,0
02164,Fire,0,0,0
02164,Hurricane,0,0,0
02164,Winter Storm,0,0,0
02164,Flood,0,0,0
02164,Tornado,0,0,0
02164,Tropical Storm,0,0,0
02164,Snowstorm,0,0,0
02164,Coastal Storm,0,0,0
02164,Severe Ice Storm,0,0,0
02170,Severe Storm,1,0,0
02170,Fire,2,0,0
02170,Hurricane,0,0,0
02170,Winter Storm,0,0,0
02170,Flood,0,0,0
02170,Tornado,0,0,0
02170,Tropical Storm,0,0,0
02170,Snowstorm,0,0,0
02170,Coastal Storm,0,0,0
02170,Severe Ice Storm,0,0,0
02180,Severe Storm,1,0,0
02180,Fire,0,0,0
02180,Hurricane,0,0,0
02180,Winter Storm,0,0,0
02180,Flood,1,0,0
02180,Tornado,0,0,0
02180,Tropical Storm,0,0,0
02180,Snowstorm,0,0,0
02180,Coastal Storm,0,0,0
02180,Severe Ice Storm,0,0,0
02185,Severe Storm,0,0,0
02185,Fire,0,0,0
02185,Hurricane,0,0,0
02185,Winter Storm,0,0,0
02185,Flood,0,0,0
02185,Tornado,0,0,0
02185,Tropical Storm,0,0,0
02185,Snowstorm,0,0,0
02185,Coastal Storm,0,0,0
02185,Severe Ice Storm,0,0,0
02188,Severe Storm,0,0,0
02188,Fire,0,0,0
02188,Hurricane,0,0,0
02188,Winter Storm,0,0,0
02188,Flood,0,0,0
02188,Tornado,0,0,0
02188,Tropical Storm,0,0,0
02188,Snowstorm,0,0,0
02188,Coastal Storm,0,0,0
02188,Severe Ice Storm,0,0,0
02195,Severe Storm,0,0,0
02195,Fire,0,0,0
02195,Hurricane,0,0,0
02195,Winter Storm,0,0,0
02195,Flood,0,0,0
02195,Tornado,0,0,0
02195,Tropical Storm,0,0,0
02195,Snowstorm,0,0,0
02195,Coastal Storm,0,0,0
02195,Severe Ice Storm,0,0,0
02198,Severe Storm,0,0,0
02198,Fire,0,0,0
02198,Hurricane,0,0,0
02198,Winter Storm,0,0,0
02198,Flood,0,0,0
02198,Tornado,0,0,0
02198,Tropical Storm,0,0,0
02198,Snowstorm,0,0,0
02198,Coastal Storm,0,0,0
02198,Severe Ice Storm,0,0,0
02220,Severe Storm,0,0,0
02220,Fire,0,0,0
02220,Hurricane,0,0,0
02220,Winter Storm,0,0,0
02220,Flood,0,0,0
